age,time_sleep,no_of_hrs,minutes_to_sleep,wake_up,day_sleep,tracker,use_tv,sleep_alone,sep_sleep_place,comfort,perf,trouble_sleep,trouble_back_to_sleep,medication,routine,rate,gender
20,1,1,2,0,1,1,1,2,1,3,2,2,3,3,1,3,1
20,1,2,0,0,0,0,0,0,2,2,1,3,3,3,2,4,0
20,1,1,0,0,0,1,0,0,0,5,3,3,3,3,0,4,0
20,2,2,0,0,2,1,1,0,1,5,1,3,3,3,1,4,2
17,0,2,0,0,3,1,1,2,2,4,0,2,1,2,0,4,0
21,1,2,0,0,2,1,1,0,1,3,0,2,3,3,0,3,1
20,1,1,0,0,2,1,0,1,2,4,2,3,3,3,2,3,0
20,1,2,1,0,1,1,0,2,1,3,1,1,2,3,1,3,1
20,2,1,0,0,2,1,2,0,2,5,3,1,1,2,2,4,0
18,1,1,0,0,2,1,1,0,1,3,3,2,2,2,1,3,1
18,1,1,2,0,4,1,0,2,2,5,3,0,2,2,2,2,0
17,1,1,0,0,3,1,0,0,0,4,2,3,3,3,1,3,1
21,0,2,0,0,1,1,0,2,0,4,3,3,3,3,1,4,1
19,0,1,0,0,2,1,0,2,2,4,1,2,2,2,0,2,2
19,0,1,3,0,2,1,0,2,1,3,2,1,2,2,0,3,2
20,2,1,0,0,3,1,0,0,2,4,2,3,2,3,2,2,0
20,1,1,0,1,2,1,0,0,2,5,1,1,1,2,0,4,1
19,2,1,0,0,2,1,0,1,1,4,2,2,2,3,1,3,1
20,1,3,0,0,0,1,1,2,2,5,2,2,1,3,0,4,1
19,1,1,0,0,3,1,1,2,0,5,3,3,3,3,2,4,0
20,1,2,0,0,2,1,1,2,0,4,0,3,2,3,0,4,1
22,1,1,1,0,1,1,1,0,0,3,0,3,3,3,1,3,0
17,1,2,0,0,2,1,1,0,0,3,2,3,3,3,0,3,1
18,1,2,0,0,2,0,0,0,0,5,3,2,2,2,0,4,0
21,1,1,0,0,4,1,0,1,2,5,2,1,2,2,2,4,2
21,1,2,0,0,3,0,1,1,1,4,2,3,3,3,0,3,0
20,1,0,0,0,2,1,0,1,2,4,2,3,1,3,0,3,0
20,3,1,0,0,0,1,0,0,2,5,2,3,3,3,0,3,0
18,2,1,0,0,2,1,2,0,0,3,2,3,3,3,2,2,1
19,1,1,0,0,2,1,0,1,1,3,3,1,1,3,0,3,2
21,2,1,0,0,0,1,2,0,2,5,2,1,3,3,0,4,1
19,1,2,1,0,0,1,1,0,0,4,2,2,2,3,1,3,2
18,1,1,1,0,1,1,0,0,0,4,2,1,1,3,1,3,1
19,1,1,1,0,3,1,0,2,1,4,3,2,2,2,2,4,0
20,1,2,1,0,2,1,1,1,1,4,1,1,1,3,1,3,0
19,1,1,2,0,1,1,0,2,2,3,0,1,3,3,0,3,1
18,1,1,1,0,0,1,1,2,0,3,2,2,2,2,0,3,1
20,1,2,1,0,2,1,0,2,2,5,2,2,2,2,1,3,2
19,1,1,0,1,0,1,0,0,1,3,1,1,0,1,2,3,1
18,1,1,2,0,2,1,0,2,2,5,1,0,1,3,2,2,2
19,1,2,0,0,2,1,0,0,2,4,1,3,3,3,0,3,1
19,1,1,0,0,0,1,0,2,0,4,0,3,1,3,2,2,1
19,1,2,1,0,2,1,0,1,1,4,1,2,1,3,1,3,0
19,1,2,0,0,0,1,2,0,2,2,2,3,2,3,2,3,0
18,1,1,1,0,2,1,0,2,2,4,2,3,2,3,0,2,0
18,1,2,0,0,2,1,0,2,2,3,1,3,3,3,0,3,0
17,0,2,0,0,3,1,1,1,2,4,3,2,2,2,0,4,0
20,1,1,0,0,1,1,1,0,2,5,2,1,2,2,2,4,1
20,1,1,0,0,1,1,0,2,1,3,2,2,0,2,0,3,0
18,1,1,4,0,2,1,0,1,2,4,3,1,2,2,1,2,2
21,1,2,1,0,2,1,0,0,0,3,2,1,1,3,0,3,0
18,3,2,0,0,2,1,0,1,2,3,2,2,1,2,2,2,1
20,0,3,1,0,4,1,2,0,0,5,2,3,3,3,2,4,0
17,1,2,0,0,3,1,1,2,2,3,2,2,2,2,1,2,1
18,1,1,1,0,0,1,0,2,1,1,0,1,1,3,2,2,2
18,1,1,0,0,0,1,1,2,0,5,3,3,3,3,2,4,1
19,1,1,1,0,2,1,0,0,0,5,3,2,2,2,1,1,1
